District Name,District Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
East Bridgewater,830000,"2,165",12,0.2,0.4,0,0,0,0,0
East Longmeadow,870000,"2,540",11,0.2,0.3,0,0,0,0,0
Easthampton,860000,"1,479",12,0.5,0.8,0,0,0,0,0
Easton,880000,"3,517",15,0.1,0.4,0,0,0,0,0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,401,8,0,2,0,0,0,0,0
Essex North Shore Agricultural and Technical School District,8170000,"1,661",6,0,0.4,0,0,0,0,0
Everett,930000,"7,922",15,0,0.2,0,0,0,0,0
Excel Academy Charter (District),4100000,"1,414",10,0.1,0.6,0,0,0,0,0
Fairhaven,940000,"1,907",5,,,,,,,
Fall River,950000,"11,247",140,0.2,1.1,0,0,0,0,0
Falmouth,960000,"3,184",4,,,,,,,
Fitchburg,970000,"5,630",44,0.2,0.7,0,0,0.1,0,0
Four Rivers Charter Public (District),4130000,229,2,,,,,,,
Foxborough,990000,"2,559",9,0,0.4,0,0,0,0,0
Framingham,1000000,"10,005",51,0.2,0.3,0,0,0,0,0
Francis W. Parker Charter Essential (District),4780000,390,4,,,,,,,
Franklin,1010000,"4,914",6,0.1,0.1,0,0,0,0,0
Franklin County Regional Vocational Technical,8180000,585,15,0.2,2.6,0,0,0,0,0
Freetown-Lakeville,6650000,"2,825",8,0,0.3,0,0,0,0,0
Frontier,6700000,626,3,,,,,,,
Gardner,1030000,"2,411",7,0,0.3,0,0,0,0,0
Gateway,6720000,781,3,,,,,,,
Gill-Montague,6740000,887,1,,,,,,,
Global Learning Charter Public (District),4960000,511,2,,,,,,,
Gloucester,1070000,"2,959",34,0,1.1,0,0,0,0,0
Grafton,1100000,"3,226",17,0.2,0.3,0,0,0,0,0
Granby,1110000,732,1,,,,,,,
Greater Fall River Regional Vocational Technical,8210000,"1,435",21,0,1.5,0,0,0,0,0
Greater Lawrence Regional Vocational Technical,8230000,"1,663",34,0,2,0,0,0,0,0
Greater Lowell Regional Vocational Technical,8280000,"2,306",40,0.1,1.6,0,0,0.4,0,0
Greater New Bedford Regional Vocational Technical,8250000,"2,133",4,,,,,,,
Greenfield,1140000,"1,685",12,0.1,0.7,0,0,0,0,0
Groton-Dunstable,6730000,"2,393",5,,,,,,,
Hamilton-Wenham,6750000,"1,708",7,0.1,0.4,0,0,0,0,0
Hampden Charter School of Science East (District),4990000,567,7,0.2,1.1,0,0,0,0,0
Hampden-Wilbraham,6800000,"2,977",17,0,0.6,0,0,0,0,0
Hampshire,6830000,698,4,,,,,,,
Hanover,1220000,"2,654",5,,,,,,,
Harvard,1250000,"1,060",2,,,,,,,
Haverhill,1280000,"8,261",80,0.1,1,0,0,0,0,0
Helen Y. Davis Leadership Academy Charter Public (District),4190000,165,3,,,,,,,
Hingham,1310000,"3,907",11,0.2,0.1,0,0,0,0,0
Holbrook,1330000,"1,361",4,,,,,,,
Holliston,1360000,"2,882",8,0,0.2,0,0,0,0,0.1
Holyoke,1370000,"5,543",38,0.2,0.6,0,0,0,0,0
Holyoke Community Charter (District),4530000,687,6,0,0.9,0,0,0,0,0
Hoosac Valley Regional,6030000,"1,068",6,0,0.5,0,0,0.1,0,0
Hudson,1410000,"2,463",12,0,0.5,0,0,0,0,0
Hull,1420000,840,5,,,,,,,
Innovation Academy Charter (District),4350000,789,3,,,,,,,
KIPP Academy Boston Charter School (District),4630000,634,2,,,,,,,
KIPP Academy Lynn Charter (District),4290000,"1,631",7,0.3,0.2,0,0,0,0,0
King Philip,6900000,"1,914",13,0.4,0.3,0,0,0,0,0
Lawrence,1490000,"14,114",22,0,0.1,0,0,0,0,0
Learning First Charter Public School (District),4860000,692,1,,,,,,,
Lee,1500000,687,4,,,,,,,
Leicester,1510000,"1,454",17,0.3,1,0,0,0,0,0
Leominster,1530000,"6,242",52,0.1,0.8,0,0,0,0,0
Lexington,1550000,"7,003",2,,,,,,,
Libertas Academy Charter School (District),35140000,364,2,,,,,,,
Lincoln-Sudbury,6950000,"1,520",6,0.1,0.4,0,0,0,0,0
Littleton,1580000,"1,684",3,,,,,,,
Longmeadow,1590000,"2,852",2,,,,,,,
Lowell,1600000,"15,264",142,0.1,0.9,0,0,0,0,0
Lowell Community Charter Public (District),4560000,827,1,,,,,,,
Ludlow,1610000,"2,428",24,0,1,0,0,0,0,0
Lunenburg,1620000,"1,649",1,,,,,,,
Lynn,1630000,"16,746",64,0,0.4,0,0,0,0,0
MATCH Charter Public School (District),4690000,"1,257",4,,,,,,,
Malden,1650000,"6,816",2,,,,,,,
Mansfield,1670000,"3,528",21,0.4,0.6,0,0,0.1,0,0
Map Academy Charter School (District),35170000,258,2,,,,,,,
Marblehead,1680000,"2,665",10,0,0.4,0,0,0,0,0
Marlborough,1700000,"5,328",26,0,0.5,0,0,0,0,0
Marshfield,1710000,"3,929",12,0,0.3,0,0,0,0,0
Martha's Vineyard,7000000,741,9,0,1.2,0,0,0,0,0
Martha's Vineyard Charter (District),4660000,182,1,,,,,,,
Masconomet,7050000,"1,656",5,,,,,,,
Mashpee,1720000,"1,526",9,0,0.6,0,0,0,0,0
Maynard,1740000,"1,251",4,,,,,,,
Medfield,1750000,"2,577",1,,,,,,,
Medford,1760000,"4,353",7,0,0.1,0,0,0,0,0
Medway,1770000,"2,177",5,,,,,,,
Melrose,1780000,"3,947",4,,,,,,,
Mendon-Upton,7100000,"2,197",5,,,,,,,
Methuen,1810000,"6,817",53,0.4,0.7,0,0,0,0,0
Middleborough,1820000,"3,121",14,0.4,0,0,0,0.1,0,0
Milford,1850000,"4,807",22,0,0.4,0,0,0,0,0
Millbury,1860000,"1,687",21,0.1,1.2,0,0,0,0,0
Millis,1870000,"1,209",4,,,,,,,
Milton,1890000,"4,452",21,0,0.5,0,0,0,0,0
Minuteman Regional Vocational Technical,8300000,662,15,1.4,2.3,0,0,0,0,0
Mohawk Trail,7170000,804,1,,,,,,,
Monomoy Regional School District,7120000,"1,834",5,,,,,,,
Monson,1910000,874,3,,,,,,,
Montachusett Regional Vocational Technical,8320000,"1,429",45,1.1,2.3,0,0,0,0,0
Mount Greylock,7150000,"1,196",8,0.7,0.2,0,0,0,0,0
Mystic Valley Regional Charter (District),4700000,"1,629",1,,,,,,,
Nantucket,1970000,"1,765",18,0.3,0.7,0,0,0,0,0
Narragansett,7200000,"1,458",8,0.1,0.3,0,0,0.1,0,0
Nashoba,7250000,"3,163",9,0,0.3,0,0,0,0,0
Nashoba Valley Regional Vocational Technical,8520000,754,12,0,1.5,0,0,0.9,0,0.7
Natick,1980000,"5,439",4,,,,,,,
Nauset,6600000,"1,401",12,0,0.7,0,0,0.1,0,0
Needham,1990000,"5,609",1,,,,,,,
Neighborhood House Charter (District),4440000,828,25,1,0.5,0,0,2.3,0,0
New Bedford,2010000,"13,481",148,0.1,0.9,0,0,0.4,0,0
New Heights Charter School of Brockton (District),35130000,761,6,0.4,0.4,0,0,0,0,0
Newburyport,2040000,"2,233",2,,,,,,,
Newton,2070000,"12,352",40,0.2,0.2,0,0,0,0,0
Norfolk County Agricultural,9150000,592,15,0.8,1.7,0,0,0,0,0
North Adams,2090000,"1,341",5,,,,,,,
North Andover,2110000,"4,623",13,0,0.3,0,0,0,0,0
North Attleborough,2120000,"4,146",6,0,0.1,0,0,0,0,0
North Brookfield,2150000,505,6,0,1.2,0,0,0,0,0
North Middlesex,7350000,"3,160",6,0,0.2,0,0,0,0,0
North Reading,2170000,"2,357",3,,,,,,,
Northampton,2100000,"2,712",4,,,,,,,
Northampton-Smith Vocational Agricultural,4060000,558,7,1.3,1.1,0,0,0,0,0
Northboro-Southboro,7300000,"1,280",7,0,0.5,0,0,0,0,0
Northborough,2130000,"1,612",1,,,,,,,
Northbridge,2140000,"2,065",18,0.1,0.8,0,0,0,0,0
Northeast Metropolitan Regional Vocational Technical,8530000,"1,343",44,2.2,1.8,0,0,0,0,0
Northern Berkshire Regional Vocational Technical,8510000,535,14,0,2.6,0,0,0,0,0
Norton,2180000,"2,434",9,0,0.4,0,0,0,0,0
Norwell,2190000,"2,211",3,,,,,,,
Norwood,2200000,"3,658",12,0.1,0.3,0,0,0,0,0
Old Colony Regional Vocational Technical,8550000,564,5,,,,,,,
Old Rochester,7400000,"1,110",9,0.1,0.7,0,0,0,0,0
